"date","depth2m","depth6m","depth8m"
2012-09-06,24.104246125,NA,NA
2013-09-06,24.2602778194444,NA,24.3428735972222
2014-09-06,23.9675506805556,NA,23.1893652291667
2018-09-06,24.31244475,NA,24.2858906458333
2019-09-06,23.9222150138889,NA,23.8952724513889
1995-10-06,NA,NA,24.4997916666667
1996-10-06,25.6895833333333,NA,25.374375
1997-10-06,25.1897872340426,NA,25.0545833333333
1998-10-06,25.844375,NA,25.26125
1999-10-06,24.6585416666667,NA,24.33375
2000-10-06,24.5506875,NA,24.38925
2001-10-06,25.2417291666667,NA,25.2909791666667
2002-10-06,24.779875,NA,24.871375
2003-10-06,25.0522708333333,NA,24.9474375
2004-10-06,NA,NA,24.8757291666667
2005-10-06,26.5709229166667,NA,26.4727416666667
2006-10-06,24.2514541666667,NA,24.0597166666667
2007-10-06,24.9508208333333,NA,24.8390583333333
2008-10-06,25.497775,NA,NA
2009-10-06,24.5940604166667,NA,NA
2010-10-06,26.68,NA,26.6460416666667
2011-10-06,24.7081695416667,NA,NA
2012-10-06,25.1670938263889,NA,NA
2013-10-06,26.0756226527778,NA,26.0823994861111
2014-10-06,24.9184474791667,NA,24.1662582569444
2018-10-06,24.8888556111111,NA,24.779529875
2019-10-06,24.5173969861111,NA,24.5586217708333
1995-11-06,NA,NA,26.21
1996-11-06,26.0820833333333,NA,25.7708510638298
1997-11-06,25.86,NA,25.7725
1998-11-06,26.66,NA,26.119375
1999-11-06,26.1533333333333,NA,26.0327083333333
2000-11-06,26.8912916666667,NA,26.7163541666667
2001-11-06,26.8645833333333,NA,26.9377916666667
2002-11-06,25.68825,NA,25.6849375
2003-11-06,25.109,NA,25.0475416666667
2004-11-06,NA,NA,26.5399375
2005-11-06,28.5629270833333,NA,28.4996520833333
2006-11-06,25.2661479166667,NA,25.09248125
2007-11-06,26.4497395833333,NA,26.2800541666667
2008-11-06,26.26695625,NA,NA
2009-11-06,25.0863270833333,NA,NA
2010-11-06,26.7041666666667,NA,26.7620833333333
2011-11-06,26.1185092152778,NA,NA
2012-11-06,26.4631979930556,NA,NA
2013-11-06,26.5407394305556,NA,26.6148410138889
2014-11-06,25.8201262986111,NA,25.0682185833333
2018-11-06,26.1133550972222,NA,26.0837904722222
2019-11-06,26.1669569513889,NA,26.0283550833333
1995-12-06,NA,NA,27.8852083333333
1996-12-06,27.828125,NA,27.6975
1997-12-06,27.7614583333333,NA,27.6141666666667
1998-12-06,28.3516666666667,NA,28.2502083333333
1999-12-06,26.27375,NA,26.13
2000-12-06,26.663,NA,26.6124583333333
2001-12-06,28.2814166666667,NA,28.3921666666667
2002-12-06,26.9687083333333,NA,26.97575
2003-12-06,27.1150833333333,NA,27.099
2004-12-06,NA,NA,27.2459583333333
2005-12-06,29.7384354166667,NA,29.60084375
2006-12-06,26.7418458333333,NA,26.5362645833333
2007-12-06,27.7388833333333,NA,27.5901916666667
2008-12-06,27.9111270833333,NA,NA
2009-12-06,26.0109645833333,NA,NA
2010-12-06,27.8933333333333,NA,27.9709722222222
2011-12-06,27.7616948611111,NA,NA
2012-12-06,27.7641608666667,NA,27.5112773571429
2013-12-06,27.7544244791667,NA,27.8051265972222
2014-12-06,27.4065345347222,NA,26.6670601041667
2018-12-06,26.839447875,NA,26.8910774097222
2019-12-06,27.5244529166667,NA,27.4516837569444
1996-01-07,NA,NA,28.1964583333333
1997-01-07,28.10625,NA,27.9041666666667
1998-01-07,27.9308333333333,NA,27.8177083333333
1999-01-07,28.4785416666667,NA,28.299375
2000-01-07,28.259375,NA,28.0435416666667
2001-01-07,27.2649375,NA,27.1833125
2002-01-07,29.5362916666667,NA,29.56825
2003-01-07,27.8882083333333,NA,27.87775
2004-01-07,28.8590833333333,NA,28.8818125
2005-01-07,29.78299375,NA,29.5987541666667
2006-01-07,30.3847541666667,NA,30.2095104166667
2007-01-07,27.9560854166667,NA,27.76128125
2008-01-07,28.25573125,NA,28.17688125
2009-01-07,28.1703854166667,NA,NA
